期盼·梦·孩子	0	5290733	2007
悟空大战二郎神	2.4	2371959	2007
独生子	8.4	1308311	2007
青藏线	4.9	2229629	2007
悲喜松花江	0	26914695	2007
大爱如天	0	2279571	2007
阿克苏的馕	0	4603398	2007
雨伞斑斓	0	2297131	2007
光荣的愤怒	8	1920620	2007
东方大港	4.7	2274465	2007
石头村发财记	0	20395154	2007
没有共产党就没有新中国	3.3	10806276	2007
星星之火	7.7	26711887	2007
兄弟之生死同盟	6.1	2278017	2007
美食总动员	8.2	1793491	2007
第三个人	8.2	1295451	2007
江北好人	5.8	2255998	2007
印度超人	6.4	1861401	2007
冰坝	0	2995901	2007
色，戒	8.1	1828115	2007
天山雪	6.1	2326219	2007
别说你爱我	0	26377564	2007
虎胆龙威4	7.6	1401535	2007
盲山	8.3	2063528	2007
箱子	6.9	2214141	2007
阿妹的诺言	7	3024212	2007
凤凰	6.9	2255992	2007
命运呼叫转移	5.7	2279772	2007
爱情手铐	0	3114225	2007
远山	8.6	2079735	2007
倾城之爱	7.8	3818607	2007
无梦之年	0	3319971	2007
投名状	6.9	1947089	2007
暖心	0	26842678	2007
笛声何处	7.3	2299371	2007
集结号	7.8	1907464	2007
纪录黎明	0	26377629	2007
两个人的教室	8.6	27115496	2007
琴麻岛的海	6.6	2287362	2007
爸爸你结婚吧	0	26351032	2007
等郎妹	7.8	2988845	2007
棒子老虎鸡	4.7	2279587	2007
舟舟	7.2	3206353	2007
小六	6.9	2163434	2007
金色面具	6.4	3814435	2008
紧急时刻	5.2	4287156	2008
耳朵大有福	7.7	2272222	2008
梦之队	6.3	4111473	2008
错爱	7.4	4287133	2008
蝴蝶飞	5.5	2359442	2008
被风吹过的夏天	0	5969159	2008
村主任和他的女友	2.8	26411410	2008
一年到头	8.2	2363843	2008
安娜与安娜	5.9	2334073	2008
游侠红牡丹	3.7	3324093	2008
北草地	0	26351030	2008
谁撞了我自己	0	26356142	2008
长江七号	6.3	1961963	2008
法官老张轶事之倔萝卜	6.4	3151757	2008
大灌篮	5.2	1950525	2008
两个人的房间	8.6	27115496	2008
成为简·奥斯汀	8.2	1920805	2008
婚礼2008	5.5	3074415	2008
